Date,Index
1927-12-30,17.66
1928-1-3,17.76
1928-1-4,17.719999
1928-1-5,17.549999
1928-1-6,17.66
1928-1-9,17.5
1928-1-10,17.370001
1928-1-11,17.35
1928-1-12,17.469999
1928-1-13,17.58
1928-1-16,17.290001
1928-1-17,17.299999
1928-1-18,17.26
1928-1-19,17.379999
1928-1-20,17.48
1928-1-23,17.639999
1928-1-24,17.709999
1928-1-25,17.52
1928-1-26,17.629999
1928-1-27,17.690001
1928-1-30,17.49
1928-1-31,17.57
1928-2-1,17.530001
1928-2-2,17.629999
1928-2-3,17.4
1928-2-6,17.450001
1928-2-7,17.440001
1928-2-8,17.49
1928-2-9,17.549999
1928-2-10,17.540001
1928-2-14,17.440001
1928-2-15,17.4
1928-2-16,17.35
1928-2-17,17.040001
1928-2-20,16.950001
1928-2-21,17.110001
1928-2-23,17.129999
1928-2-24,17.18
1928-2-27,17.110001
1928-2-28,17.16
1928-2-29,17.26
1928-3-1,17.299999
1928-3-2,17.299999
1928-3-5,17.57
1928-3-6,17.67
1928-3-7,17.58
1928-3-8,17.639999
1928-3-9,17.93
1928-3-12,17.93
1928-3-13,17.92
1928-3-14,17.93
1928-3-15,18.07
1928-3-16,18.26
1928-3-19,18.360001
1928-3-20,18.459999
1928-3-21,18.65
1928-3-22,18.6
1928-3-23,18.780001
1928-3-26,19.049999
1928-3-27,18.940001
1928-3-28,18.889999
1928-3-29,18.950001
1928-3-30,19.280001
1928-4-2,18.91
1928-4-3,19.02
1928-4-4,18.99
1928-4-5,19.23
1928-4-9,19.27
1928-4-10,19.1
1928-4-11,19.440001
1928-4-12,19.41
1928-4-13,19.73
1928-4-16,19.68
1928-4-17,19.52
1928-4-18,19.52
1928-4-19,19.629999
1928-4-20,19.34
1928-4-23,19.15
1928-4-24,19.25
1928-4-25,19.33
1928-4-26,19.469999
1928-4-27,19.68
1928-4-30,19.75
1928-5-1,19.780001
1928-5-2,19.83
1928-5-3,19.93
1928-5-4,20.24
1928-5-7,20.41
1928-5-8,20.27
1928-5-9,20.24
1928-5-10,20.209999
1928-5-11,20.360001
1928-5-14,20.440001
1928-5-15,20.389999
1928-5-16,20.049999
1928-5-17,20.120001
1928-5-18,19.92
1928-5-21,19.629999
1928-5-22,19.360001
1928-5-23,19.75
1928-5-24,19.870001
1928-5-25,19.9
1928-5-28,19.57
1928-5-29,19.82
1928-5-31,19.82
1928-6-1,20.07
1928-6-4,19.799999
1928-6-5,19.85
1928-6-6,19.66
1928-6-7,19.610001
1928-6-8,19.370001
1928-6-11,18.68
1928-6-12,18.34
1928-6-13,18.889999
1928-6-14,19.049999
1928-6-15,18.74
1928-6-18,18.4
1928-6-19,18.34
1928-6-20,18.57
1928-6-21,18.559999
1928-6-22,18.540001
1928-6-25,18.469999
1928-6-26,18.68
1928-6-27,18.860001
1928-6-28,19.07
1928-6-29,19.139999
