#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2022 01 01 00 00 999 99.0 99.0  1.32  7.41  5.74 263 9999.0  11.9  12.0 999.0 99.0 99.00
2022 01 01 00 30 999 99.0 99.0  1.28  8.00  5.80 261 9999.0  11.6  12.0 999.0 99.0 99.00
2022 01 01 01 00 999 99.0 99.0  1.26  8.33  5.88 258 9999.0  11.2  12.0 999.0 99.0 99.00
2022 01 01 01 30 999 99.0 99.0  1.26  8.00  6.17 267 9999.0  10.8  12.0 999.0 99.0 99.00
2022 01 01 02 00 999 99.0 99.0  1.25  9.52  6.52 246 9999.0  10.3  11.9 999.0 99.0 99.00
2022 01 01 02 30 999 99.0 99.0  1.16  9.09  6.44 249 9999.0  10.1  11.9 999.0 99.0 99.00
2022 01 01 03 00 999 99.0 99.0  1.19  9.52  6.36 240 9999.0   9.4  11.9 999.0 99.0 99.00
2022 01 01 03 30 999 99.0 99.0  1.17  9.09  6.47 246 9999.0   9.1  11.9 999.0 99.0 99.00
2022 01 01 04 00 999 99.0 99.0  1.07  9.09  6.24 248 9999.0   8.6  11.7 999.0 99.0 99.00
2022 01 01 04 30 999 99.0 99.0  1.18  8.33  6.54 251 9999.0   8.4  11.7 999.0 99.0 99.00
2022 01 01 05 00 999 99.0 99.0  1.11  9.09  6.45 245 9999.0   8.5  11.6 999.0 99.0 99.00
2022 01 01 05 30 999 99.0 99.0  1.13  8.70  6.47 247 9999.0   8.7  11.6 999.0 99.0 99.00
2022 01 01 06 00 999 99.0 99.0  1.10  8.70  6.46 252 9999.0   9.0  11.5 999.0 99.0 99.00
2022 01 01 06 30 999 99.0 99.0  1.12  8.00  6.60 259 9999.0   9.5  11.6 999.0 99.0 99.00
2022 01 01 07 00 999 99.0 99.0  1.01 10.00  6.57 244 9999.0   9.1  11.6 999.0 99.0 99.00
2022 01 01 07 30 999 99.0 99.0  1.03  8.33  6.62 255 9999.0   8.9  11.8 999.0 99.0 99.00
2022 01 01 08 00 999 99.0 99.0  1.00  7.69  6.26 260 9999.0   8.5  11.8 999.0 99.0 99.00
2022 01 01 08 30 999 99.0 99.0  0.98  8.70  6.12 252 9999.0   7.6  11.9 999.0 99.0 99.00
2022 01 01 09 00 999 99.0 99.0  0.93 12.50  6.36 242 9999.0   7.5  11.9 999.0 99.0 99.00
2022 01 01 09 30 999 99.0 99.0  0.94  9.09  6.21 247 9999.0   8.8  12.0 999.0 99.0 99.00
2022 01 01 10 00 999 99.0 99.0  0.91  6.90  5.93 269 9999.0   8.5  12.1 999.0 99.0 99.00
2022 01 01 10 30 999 99.0 99.0  0.93  9.52  6.35 243 9999.0   9.2  12.0 999.0 99.0 99.00
2022 01 01 11 00 999 99.0 99.0  0.94 12.50  6.53 235 9999.0   9.1  11.6 999.0 99.0 99.00
2022 01 01 11 30 999 99.0 99.0  1.00 12.50  6.41 234 9999.0   7.4  11.5 999.0 99.0 99.00
2022 01 01 12 00 999 99.0 99.0  0.88  6.90  5.90 269 9999.0   7.1  11.5 999.0 99.0 99.00
2022 01 01 12 30 999 99.0 99.0  0.97  8.33  6.09 265 9999.0   7.2  11.5 999.0 99.0 99.00
2022 01 01 13 00 999 99.0 99.0  0.95  9.09  6.31 258 9999.0   5.9  11.6 999.0 99.0 99.00
2022 01 01 13 30 999 99.0 99.0  0.89  8.70  6.03 262 9999.0   5.2  11.6 999.0 99.0 99.00
2022 01 01 14 00 999 99.0 99.0  0.90 12.50  6.34 235 9999.0   5.1  11.7 999.0 99.0 99.00
2022 01 01 14 30 999 99.0 99.0  0.91 12.50  6.22 232 9999.0   6.3  11.5 999.0 99.0 99.00
2022 01 01 15 00 999 99.0 99.0  0.97 12.50  6.32 233 9999.0   6.4  11.4 999.0 99.0 99.00
2022 01 01 15 30 999 99.0 99.0  0.93 12.50  5.87 240 9999.0   5.7  11.1 999.0 99.0 99.00
2022 01 01 16 00 999 99.0 99.0  0.92 12.50  6.15 227 9999.0   5.3  11.6 999.0 99.0 99.00
2022 01 01 16 30 999 99.0 99.0  0.92 12.50  6.33 235 9999.0   5.8  11.6 999.0 99.0 99.00
2022 01 01 17 00 999 99.0 99.0  0.85 15.38  6.39 230 9999.0   6.3  11.7 999.0 99.0 99.00
